idProd,nombre,marca,precio,cantidad,barCode,linkImg,grupo,linkPag,activo,idAuto
274291,Queso rallado MILKY 200 g,MILKY,204.0,0,,https://geant.vteximg.com.br/arquivos/ids/203802-250-250/274291-1.jpg?v=636384803075370000,frescos,https://www.disco.com.uy/queso-rallado-milky-200-g-274291/p,1,14087
274866,Queso de crema TALAR 210 g,TALAR,99.0,0,,https://geant.vteximg.com.br/arquivos/ids/205181-250-250/274866.jpg?v=636402842692830000,frescos,https://www.disco.com.uy/queso-de-crema-talar-pt-210-g-274866/p,1,14088
272825,Queso magro TALAR fracción 550 g,TALAR,495.0,0,,https://geant.vteximg.com.br/arquivos/ids/212290-250-250/272825.jpg?v=636483304983130000,frescos,https://www.disco.com.uy/queso-magro-talar-fraccion-el-kg-272825/p,1,14089
271741,Queso CONAPROLE Cream Cheese 400 g,CONAPROLE,172.0,0,,https://geant.vteximg.com.br/arquivos/ids/251836-250-250/271741.jpg?v=637272150595630000,frescos,https://www.disco.com.uy/queso-cream-cheese-sachet-conaprole-400-g-271741/p,1,14090
271626,Queso port salut LA SERENISIMA light 500 g,LA SERENISIMA,609.0,0,,https://geant.vteximg.com.br/arquivos/ids/277970-250-250/271626.jpg?v=637618832206700000,frescos,https://www.disco.com.uy/queso-port-salut-light-la-serenisima-el-kg-271626/p,1,14091
271487,Queso procesado para sándwich CONAPROLE atmósfera controlada x 250 g,CONAPROLE,505.0,0,,https://geant.vteximg.com.br/arquivos/ids/292600-250-250/271487.jpg?v=637756109390900000,frescos,https://www.disco.com.uy/queso-procesado-para-sandwich-conaprole-a-c-250-g-271487/p,1,14092
271441,Queso untable Colonia FARMING sin sal light 190 g,FARMING,119.0,0,,https://geant.vteximg.com.br/arquivos/ids/257598-250-250/271441.jpg?v=637347343305570000,frescos,https://www.disco.com.uy/queso-untable-colonia-sin-sal-light-farming-190-g-271441/p,1,14093
271293,Queso de soja tofu NATUREZAS 500 g,NATUREZAS,274.0,0,,https://geant.vteximg.com.br/arquivos/ids/276587-250-250/271293.jpg?v=637605726620470000,frescos,https://www.disco.com.uy/queso-de-soja-tofu-naturezas-500-g-271293/p,1,14094
300697,Leche entera CONAPROLE larga vida 1 L,CONAPROLE,63.0,0,,https://geant.vteximg.com.br/arquivos/ids/292596-250-250/300697.jpg?v=637756107399100000,frescos,https://www.disco.com.uy/jamon-cocido-sarubbi-a-c-250-g-300697/p,1,14095
271195,Queso untable Requesón FARMING light 190 g,FARMING,119.0,0,,https://geant.vteximg.com.br/arquivos/ids/257593-250-250/271195.jpg?v=637347341075400000,frescos,https://www.disco.com.uy/queso-untable-requeson-light-farming-190-g-271195/p,1,14096
298181,Pan Integral x 380 g,-,92.0,0,,https://geant.vteximg.com.br/arquivos/ids/203844-250-250/298181.jpg?v=636384804639730000,frescos,https://www.disco.com.uy/pan-integral-x-380-g-298181/p,1,14097
257463,Tortelines DISCO 500 g,DISCO,178.98,0,,https://geant.vteximg.com.br/arquivos/ids/304114-250-250/257463-1.jpg?v=637872647207470000,frescos,https://www.disco.com.uy/tortelines-disco-500-g-257463/p,1,14098
499037,Leche fresca entera CONAPROLE 1 L,CONAPROLE,37.0,0,,https://geant.vteximg.com.br/arquivos/ids/227295-250-250/499037.jpg?v=636822287124630000,frescos,https://www.disco.com.uy/champinon-blanco-fileteado-camponuevo-200-g-499037/p,1,14099
270235,Queso rallado grueso PRECIO LÍDER 80 g,PRECIO LÍDER,88.99,0,,https://geant.vteximg.com.br/arquivos/ids/306504-250-250/270235.jpg?v=637877040298430000,frescos,https://www.disco.com.uy/queso-rallado-grueso-precio-lider-800-g-270235/p,1,14100
241666,Golden Chicken SADIA tradicional 700 g,SADIA,327.0,0,,https://geant.vteximg.com.br/arquivos/ids/304104-250-250/241666-1.jpg?v=637872036357700000,frescos,https://www.disco.com.uy/golden-chicken-sadia-tradicional-700-g-241666/p,1,14101
270282,Queso untable Parmesano FARMING 190 g,FARMING,119.0,0,,https://geant.vteximg.com.br/arquivos/ids/257584-250-250/270282.jpg?v=637347333622630000,frescos,https://www.disco.com.uy/queso-untable-parmesano-farming-pt-190-g-270282/p,1,14102
241850,Alimento proteína h BEYOND MEAT 226 g,BEYOND MEAT,437.0,0,,https://geant.vteximg.com.br/arquivos/ids/298083-250-250/241850.jpg?v=637843324412830000,frescos,https://www.disco.com.uy/alimento-proteina-h-beyond-meat-226-g-241850/p,1,14103
300782,Fiambre de cerdo OTTONELLO x 100 g,OTTONELLO,350.0,0,,https://geant.vteximg.com.br/arquivos/ids/299064-250-250/300782.jpg?v=637849300873230000,frescos,https://www.disco.com.uy/fiambre-de-cerdo-ottonello-x-100-g-300782/p,1,14104
224157,Alfajor de maicena Deleite CONAPROLE 360 g,CONAPROLE,204.0,0,,https://geant.vteximg.com.br/arquivos/ids/311253-250-250/224157.jpg?v=637902893450000000,frescos,https://www.disco.com.uy/alfajor-de-maicena-deleite-conaprole-360-g-224157/p,1,14105
221038,Tapa para empanadas hojaldradas PRECIO LIDER x 12 un. 330 g,PRECIO LÍDER,94.99,0,,https://geant.vteximg.com.br/arquivos/ids/307265-250-250/221038.jpg?v=637878737947370000,frescos,https://www.disco.com.uy/tapa-para-empanada-hojaldrada-precio-lider-x-12-un-330-g-221038/p,1,14106
221033,Ravioles de Verdura PRECIO LIDER 500 g,PRECIO LÍDER,148.99,0,,https://geant.vteximg.com.br/arquivos/ids/307260-250-250/221033.jpg?v=637878732007630000,frescos,https://www.disco.com.uy/ravioles-de-verdura-precio-lider-500-g------221033/p,1,14107
213307,Vegetales mixtos MC.CAIN 500 g,McCAIN,153.0,0,,https://geant.vteximg.com.br/arquivos/ids/295800-250-250/213307.jpg?v=637812349008930000,frescos,https://www.disco.com.uy/vegetales-mixtos-mc-cain-500-g-213307/p,1,14108
241284,Postre SER Mousse dulce de leche 70 g,SER,34.0,0,,https://geant.vteximg.com.br/arquivos/ids/293341-250-250/241284.jpg?v=637774204810370000,frescos,https://www.disco.com.uy/postre-ser-mousse-dulce-de-leche-70-g-241284/p,1,14109
400900,Mix de lechuga y rucula BAKAR 170 g,BAKAR,139.0,0,,https://geant.vteximg.com.br/arquivos/ids/306462-250-250/400900.jpg?v=637877005529830000,frescos,https://www.disco.com.uy/mix-de-lechuga-y-rucula-bakar-170-g--400900/p,1,14110
